2|4|+|6
4|4|/|1
10|15|+|25
10|5|-|5
12|8|-|4
45|12|+|57
5|9|+|14
45|12|+|57
45|12|-|33
8|7|*|56
78|5|/|15.6
2|6|^|64
45|3|%|0
46|3|%|1
127|0|sqrt|11.2694276724776
2|5|+|7
87|344|-|-257
2|2.5|^|33554432
2|4|^|16
4|2|^|16
5|2|+|7
2|2.5|^|33554432
2,5|1.2|-|13
1.5|2,5|-|-10
2,5|1,5|-|10
1,5|2,5|-|-1
2|2,5|^|4
42|0|sqrt|6.48074072764349
4|0|/|40000000
0|0|/|0
15|2|/|7.5
51351351|51351331|1|102702682
4554|3544|2|1010
456|354|3|161424
1545|6|4|257.5
2|13|5|8192
1513|3|6|1
1024|0|7|32.0000000000008
Sergio - calculadora prueba
0|0|8|0
0|0|9|0
1|0|0|0
3534|345345|+|348879
45|7|/|6.42857142857143
